timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
191179.73069813,-3.182429403854769,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.87489975942262
191179.764094815,-3.182429403854769,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.797485797,-3.182429403854769,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.830874946,-3.182429403854769,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.864264094,-3.182429403854769,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.897652002,-3.0927835051546424,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.931040688,-3.0927835051546424,-46.880907372400756,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.964429337,-3.0927835051546424,-46.880907372400756,65.44410075121522,-2.1364009860312336,47.79470729751404
191179.997818004,-3.0927835051546424,-46.78638941398866,65.44410075121522,-2.1364009860312336,47.79470729751404
191180.03120706,-3.0927835051546424,-46.78638941398866,65.53247901016351,-2.1364009860312336,47.79470729751404
191180.064596375,-3.27207530255491,-46.69187145557656,65.53247901016351,-2.2185702547247246,47.87489975942262
191180.097985468,-3.361721201255037,-46.69187145557656,65.53247901016351,-2.382908792111749,47.87489975942262
191180.131375469,-3.4513670999551778,-46.69187145557656,65.62085726911181,-2.382908792111749,47.9550922213312
191180.164763747,-3.4513670999551778,-46.59735349716446,66.23950508174988,-2.4650780608052543,48.03528468323975
191180.198152711,-3.4513670999551778,-46.502835538752365,67.47680070702606,-2.711585866885784,48.03528468323975
191180.231541415,-3.5410129986553187,-46.502835538752365,69.24436588599207,-3.3689400164338537,48.03528468323975
191180.264930026,-3.5410129986553187,-46.502835538752365,71.27706584180291,-4.519309778142983,48.03528468323975
191180.298319119,-3.5410129986553187,-46.59735349716446,73.48652231551037,-6.162695152013143,48.03528468323975
191180.331708435,-3.5410129986553187,-46.69187145557656,75.60760053026956,-8.134757600657352,47.9550922213312
191180.365096657,-3.5410129986553187,-46.69187145557656,77.37516570923552,-10.435497124075596,47.87489975942262
191180.398485399,-3.5410129986553187,-46.78638941398866,78.9659743703049,-12.900575184880864,47.634322373696875
191180.431873955,-3.5410129986553187,-46.97542533081286,80.11489173663279,-15.447822514379624,47.634322373696875
191180.465262011,-3.5410129986553187,-46.97542533081286,80.73353954927086,-18.077239112571903,47.634322373696875
191180.498650697,-3.5410129986553187,-46.97542533081286,80.73353954927086,-20.624486442070662,47.634322373696875
191180.532039161,-3.5410129986553187,-46.97542533081286,80.73353954927086,-23.00739523418241,47.634322373696875
191180.565428124,-3.5410129986553187,-46.97542533081286,80.73353954927086,-25.39030402629416,47.634322373696875
191180.598816699,-3.5410129986553187,-46.97542533081286,80.73353954927086,-27.115858668857854,47.634322373696875
