timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
92319.975912345,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.009309987,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.042701778,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.076091512,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.109480859,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.14286991,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.176263331,0.1344688480501901,-68.90359168241966,77.90543526292532,-0.82169268693508,39.77546110665597
92320.209662752,0.1344688480501901,-68.99810964083176,77.90543526292532,-0.82169268693508,39.77546110665597
92320.243059969,0.1344688480501901,-68.99810964083176,77.90543526292532,-0.82169268693508,39.77546110665597
92320.276457112,0.1344688480501901,-68.99810964083176,77.90543526292532,-0.82169268693508,39.85565356856455
92320.309852811,0.1344688480501901,-68.99810964083176,77.99381352187362,-0.82169268693508,39.85565356856455
92320.343245269,0.1344688480501901,-68.99810964083176,78.08219178082192,-0.9860312243221045,39.85565356856455
92320.376636894,0.1344688480501901,-68.99810964083176,78.08219178082192,-1.0682004930156097,39.85565356856455
92320.410026037,0.04482294935006337,-68.99810964083176,78.17057003977021,-1.23253903040262,39.93584603047313
92320.443415625,-0.13446884805020431,-68.99810964083176,78.3473265576668,-1.561216105176669,39.93584603047313
92320.476806213,-0.22411474675033105,-68.99810964083176,78.52408307556342,-2.382908792111749,39.93584603047313
92320.510195764,-0.7619901389511341,-68.71455576559546,78.4357048166151,-4.272801972062439,39.93584603047313
92320.543587314,-1.6584491259524867,-68.62003780718337,77.81705700397703,-6.902218570254732,39.77546110665597
92320.576979939,-2.644554011653966,-68.52551984877127,76.49138311975256,-10.35332785538209,39.615076182838806
92320.610371657,-3.7203047960555864,-68.52551984877127,74.10517012814847,-14.133114215283484,39.615076182838806
92320.643763966,-4.527117884356784,-68.52551984877127,71.27706584180291,-18.323746918652432,39.615076182838806
92320.67715648,-5.154639175257742,-68.52551984877127,68.36058329650908,-22.267871815940836,39.615076182838806
92320.710548068,-5.4235768713581365,-68.52551984877127,65.7976137870084,-25.88331963845522,39.615076182838806
92320.743938822,-5.513222770058263,-68.43100189035917,63.41140079540432,-29.087921117502063,39.615076182838806
92320.777334114,-5.4235768713581365,-68.33648393194707,61.37870083959348,-31.799506984387833,39.615076182838806
92320.810729201,-5.4235768713581365,-67.86389413988658,59.61113566062747,-33.60723089564502,39.615076182838806
92320.844128252,-5.4235768713581365,-66.72967863894141,58.02032699955811,-34.59326211996712,39.69526864474739
92320.877524414,-5.4235768713581365,-65.02835538752363,56.78303137428193,-34.757600657354146,39.77546110665597
92320.910919075,-5.4235768713581365,-62.948960302457465,55.72249226690232,-34.757600657354146,39.85565356856455
92320.9443127,-5.4235768713581365,-61.0586011342155,54.66195315952277,-34.757600657354146,39.93584603047313
92320.977706325,-5.4235768713581365,-59.54631379962193,53.77817057003978,-34.757600657354146,40.01603849238171
92321.011098542,-5.4235768713581365,-58.034026465028354,53.07114449845338,-34.839769926047666,40.01603849238171
92321.044490982,-5.4235768713581365,-57.088846880907376,52.36411842686698,-34.839769926047666,40.01603849238171
92321.077883606,-5.4235768713581365,-56.52173913043478,51.8338488731772,-34.839769926047666,40.01603849238171
92321.111275695,-5.4235768713581365,-56.332703213610586,51.21520106053913,-34.839769926047666,40.01603849238171
92321.144668117,-5.4235768713581365,-56.332703213610586,50.861688024745916,-34.839769926047666,40.01603849238171
92321.178060002,-5.4235768713581365,-56.23818525519849,50.59655324790103,-34.839769926047666,40.01603849238171
92321.211452202,-5.4235768713581365,-56.14366729678639,50.50817498895273,-34.839769926047666,40.01603849238171
92321.244844254,-5.4235768713581365,-56.14366729678639,50.419796730004435,-34.839769926047666,40.01603849238171
92321.278236658,-5.4235768713581365,-56.14366729678639,50.419796730004435,-34.839769926047666,40.01603849238171
92321.311632895,-5.4235768713581365,-56.14366729678639,50.419796730004435,-34.757600657354146,40.01603849238171
92321.345027743,-5.4235768713581365,-56.14366729678639,50.419796730004435,-34.757600657354146,40.01603849238171
92321.378421739,-5.4235768713581365,-56.14366729678639,50.50817498895273,-34.757600657354146,40.01603849238171
92321.411813698,-5.4235768713581365,-56.14366729678639,50.59655324790103,-34.67543138866064,40.01603849238171
92321.445211565,-5.4235768713581365,-56.14366729678639,50.59655324790103,-34.346754313886606,40.01603849238171
92321.478609746,-5.3339309726579955,-56.14366729678639,50.59655324790103,-33.278553820871,40.01603849238171
92321.512009946,-5.244285073957869,-56.14366729678639,50.59655324790103,-31.470829909613812,40.01603849238171
92321.545403164,-5.064993276557601,-56.23818525519849,50.684931506849324,-29.087921117502063,40.01603849238171
92321.578794049,-4.437471985656657,-56.23818525519849,50.77330976579762,-25.8011503697617,40.01603849238171
92321.612183934,-3.6306588973554454,-56.23818525519849,50.861688024745916,-22.021364009860307,40.01603849238171
92321.645579412,-2.644554011653966,-56.23818525519849,51.03844454264251,-18.241577649958913,40.01603849238171
92321.678972149,-2.017032720753022,-56.332703213610586,51.74547061422891,-14.46179129005752,40.09623095429029
92321.712363423,-1.479157328552219,-56.332703213610586,53.42465753424656,-11.257189811010676,40.09623095429029
